Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(12301, 12336, 596)",,,,,,,Point,
"(12409, 11982, 597)",,,,,,,Point,
"(12662, 12136, 598)",,,,,,,Point,
"(10638, 12324, 599)",,,,,,,Point,
"(12466, 12151, 600)",,,,,,,Point,
"(12881, 12701, 601)",,,,,,,Point,
"(11787, 12251, 602)",,,,,,,Point,
"(12639, 12174, 603)",,,,,,,Point,
"(10773, 12048, 604)",,,,,,,Point,
"(12328, 12009, 605)",,,,,,,Point,
"(12758, 12363, 606)",,,,,,,Point,
"(10104, 12286, 607)",,,,,,,Point,
"(14122, 11771, 608)",,,,,,,Point,
"(15194, 10865, 609)",,,,,,,Point,
"(12006, 10688, 610)",,,,,,,Point,
"(13446, 12078, 611)",,,,,,,Point,
"(11833, 12159, 612)",,,,,,,Point,
"(10292, 13381, 613)",,,,,,,Point,
"(12797, 12816, 614)",,,,,,,Point,
"(11091, 12148, 615)",,,,,,,Point,
"(12221, 12812, 616)",,,,,,,Point,
"(12078, 12297, 617)",,,,,,,Point,
"(13926, 12340, 618)",,,,,,,Point,
"(13661, 12271, 619)",,,,,,,Point,
"(13150, 13308, 620)",,,,,,,Point,
"(12536, 12332, 621)",,,,,,,Point,
"(13081, 12174, 622)",,,,,,,Point,
"(12432, 11971, 623)",,,,,,,Point,
"(11764, 11721, 624)",,,,,,,Point,
"(11287, 11725, 625)",,,,,,,Point,
"(11353, 10938, 626)",,,,,,,Point,
"(11587, 11464, 627)",,,,,,,Point,
"(11548, 11210, 628)",,,,,,,Point,
"(11575, 11483, 629)",,,,,,,Point,
"(11053, 10892, 630)",,,,,,,Point,
"(11207, 11433, 631)",,,,,,,Point,
"(11383, 11372, 632)",,,,,,,Point,
"(11625, 11429, 633)",,,,,,,Point,
"(11621, 11798, 634)",,,,,,,Point,
"(11191, 11260, 635)",,,,,,,Point,
"(11372, 10965, 636)",,,,,,,Point,
"(11571, 11249, 637)",,,,,,,Point,
"(11187, 11813, 638)",,,,,,,Point,
"(11145, 12052, 639)",,,,,,,Point,
"(11660, 11149, 640)",,,,,,,Point,
"(11241, 11003, 641)",,,,,,,Point,
"(11280, 11545, 642)",,,,,,,Point,
"(11064, 12055, 643)",,,,,,,Point,
"(12332, 10454, 644)",,,,,,,Point,
"(11245, 11041, 645)",,,,,,,Point,
"(11683, 11226, 646)",,,,,,,Point,
"(11333, 11187, 647)",,,,,,,Point,
"(11379, 11594, 648)",,,,,,,Point,
"(10903, 11057, 649)",,,,,,,Point,
"(11322, 11322, 650)",,,,,,,Point,
"(11506, 11767, 651)",,,,,,,Point,
"(11038, 11790, 652)",,,,,,,Point,
"(11410, 10918, 653)",,,,,,,Point,
"(11437, 11264, 654)",,,,,,,Point,
"(10945, 11433, 655)",,,,,,,Point,
"(11333, 11341, 656)",,,,,,,Point,
"(11917, 12021, 657)",,,,,,,Point,
"(12267, 10826, 658)",,,,,,,Point,
"(10500, 11986, 659)",,,,,,,Point,
"(11929, 11061, 660)",,,,,,,Point,
"(11345, 11560, 661)",,,,,,,Point,
"(11429, 11452, 662)",,,,,,,Point,
"(11195, 11975, 663)",,,,,,,Point,
"(11303, 11137, 664)",,,,,,,Point,
"(11683, 11053, 665)",,,,,,,Point,
"(11383, 11283, 666)",,,,,,,Point,
"(11883, 11660, 667)",,,,,,,Point,
"(11844, 11310, 668)",,,,,,,Point,
"(10984, 11579, 669)",,,,,,,Point,
"(11195, 11771, 670)",,,,,,,Point,
"(11890, 10853, 671)",,,,,,,Point,
"(12655, 10661, 672)",,,,,,,Point,
"(12778, 10999, 673)",,,,,,,Point,
"(13311, 10392, 674)",,,,,,,Point,
"(13077, 10281, 675)",,,,,,,Point,
"(12635, 10542, 676)",,,,,,,Point,
"(12528, 10158, 677)",,,,,,,Point,
"(12140, 10788, 678)",,,,,,,Point,
"(12247, 10373, 679)",,,,,,,Point,
"(12136, 10500, 680)",,,,,,,Point,
"(12075, 10938, 681)",,,,,,,Point,
"(11994, 10484, 682)",,,,,,,Point,
"(12021, 10600, 683)",,,,,,,Point,
"(12221, 11011, 684)",,,,,,,Point,
"(11833, 10746, 685)",,,,,,,Point,
"(11806, 10377, 686)",,,,,,,Point,
"(11579, 11468, 687)",,,,,,,Point,
"(10569, 11080, 688)",,,,,,,Point,
"(15459, 5641, 689)",,,,,,,Point,
"(12628, 10454, 690)",,,,,,,Point,
"(12186, 10469, 691)",,,,,,,Point,
"(12958, 10877, 692)",,,,,,,Point,
"(12388, 10298, 693)",,,,,,,Point,
"(12618, 10732, 694)",,,,,,,Point,
"(12678, 10979, 695)",,,,,,,Point,
"(12593, 10792, 696)",,,,,,,Point,
"(12712, 10817, 697)",,,,,,,Point,
"(12822, 10494, 698)",,,,,,,Point,
"(12848, 10758, 699)",,,,,,,Point,
"(12567, 10664, 700)",,,,,,,Point,
"(12482, 10826, 701)",,,,,,,Point,
"(12873, 10792, 702)",,,,,,,Point,
"(12924, 10205, 703)",,,,,,,Point,
"(12992, 10860, 704)",,,,,,,Point,
"(13077, 10409, 705)",,,,,,,Point,
"(13367, 10596, 706)",,,,,,,Point,
"(15714, 11149, 707)",,,,,,,Point,
"(11887, 10928, 708)",,,,,,,Point,
"(12414, 10588, 709)",,,,,,,Point,
"(12244, 10384, 710)",,,,,,,Point,
"(12159, 10868, 711)",,,,,,,Point,
"(12822, 10503, 712)",,,,,,,Point,
"(12984, 10247, 713)",,,,,,,Point,
"(12431, 10962, 714)",,,,,,,Point,
"(12176, 10673, 715)",,,,,,,Point,
"(12150, 10358, 716)",,,,,,,Point,
"(12337, 10758, 717)",,,,,,,Point,
"(11487, 10885, 718)",,,,,,,Point,
"(12363, 10392, 719)",,,,,,,Point,
"(12490, 11115, 720)",,,,,,,Point,
"(12958, 10868, 721)",,,,,,,Point,
"(13239, 10145, 722)",,,,,,,Point,
