Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(12245, 8607, 136)",,,,,,,Point,
"(13059, 8058, 137)",,,,,,,Point,
"(11246, 13789, 138)",,,,,,,Point,
"(12456, 8208, 139)",,,,,,,Point,
"(10981, 9452, 140)",,,,,,,Point,
"(11791, 9226, 141)",,,,,,,Point,
"(12913, 8392, 142)",,,,,,,Point,
"(11380, 8857, 143)",,,,,,,Point,
"(13243, 8104, 144)",,,,,,,Point,
"(10624, 8734, 145)",,,,,,,Point,
"(11853, 8411, 146)",,,,,,,Point,
"(11642, 8761, 147)",,,,,,,Point,
"(11012, 8849, 148)",,,,,,,Point,
"(12859, 8288, 149)",,,,,,,Point,
"(8235, 8765, 150)",,,,,,,Point,
"(10017, 9633, 151)",,,,,,,Point,
"(11231, 10520, 152)",,,,,,,Point,
"(9080, 9206, 153)",,,,,,,Point,
"(12391, 8557, 154)",,,,,,,Point,
"(11891, 8580, 155)",,,,,,,Point,
"(12198, 7670, 156)",,,,,,,Point,
"(11457, 9011, 157)",,,,,,,Point,
"(12583, 8054, 158)",,,,,,,Point,
"(10942, 9003, 159)",,,,,,,Point,
"(12874, 8396, 160)",,,,,,,Point,
"(12540, 8212, 161)",,,,,,,Point,
"(10270, 8688, 162)",,,,,,,Point,
"(12041, 8373, 163)",,,,,,,Point,
"(9948, 8953, 164)",,,,,,,Point,
"(11772, 8185, 165)",,,,,,,Point,
"(9164, 8358, 166)",,,,,,,Point,
"(9637, 8369, 167)",,,,,,,Point,
"(13431, 8081, 168)",,,,,,,Point,
"(11338, 7770, 169)",,,,,,,Point,
"(12083, 7947, 170)",,,,,,,Point,
"(13001, 7543, 171)",,,,,,,Point,
"(11492, 7167, 172)",,,,,,,Point,
"(12809, 7340, 173)",,,,,,,Point,
"(12344, 8031, 174)",,,,,,,Point,
"(12398, 7578, 175)",,,,,,,Point,
"(12867, 8069, 176)",,,,,,,Point,
"(11645, 7889, 177)",,,,,,,Point,
"(12402, 7670, 178)",,,,,,,Point,
"(11811, 8761, 179)",,,,,,,Point,
"(10685, 9713, 180)",,,,,,,Point,
"(10754, 10774, 181)",,,,,,,Point,
"(10074, 10612, 182)",,,,,,,Point,
"(9256, 10524, 183)",,,,,,,Point,
"(10608, 11027, 184)",,,,,,,Point,
"(6863, 12318, 185)",,,,,,,Point,
"(12694, 12364, 186)",,,,,,,Point,
"(11215, 12679, 187)",,,,,,,Point,
"(11499, 12295, 188)",,,,,,,Point,
"(11868, 10827, 189)",,,,,,,Point,
"(11933, 11039, 190)",,,,,,,Point,
"(11807, 10981, 191)",,,,,,,Point,
"(10785, 11200, 192)",,,,,,,Point,
"(9498, 8803, 193)",,,,,,,Point,
"(8473, 7409, 194)",,,,,,,Point,
"(9694, 6929, 195)",,,,,,,Point,
"(9921, 7255, 196)",,,,,,,Point,
"(9533, 7328, 197)",,,,,,,Point,
"(8957, 7151, 198)",,,,,,,Point,
"(8023, 7582, 199)",,,,,,,Point,
"(10005, 7178, 200)",,,,,,,Point,
"(10232, 7182, 201)",,,,,,,Point,
"(9994, 6979, 202)",,,,,,,Point,
"(9686, 7459, 203)",,,,,,,Point,
"(9629, 7144, 204)",,,,,,,Point,
"(9621, 7536, 205)",,,,,,,Point,
"(10789, 11300, 206)",,,,,,,Point,
"(11062, 12160, 207)",,,,,,,Point,
"(11718, 11338, 208)",,,,,,,Point,
"(11995, 11004, 209)",,,,,,,Point,
"(11165, 10800, 210)",,,,,,,Point,
"(11261, 10743, 211)",,,,,,,Point,
"(11269, 11258, 212)",,,,,,,Point,
"(10820, 11768, 213)",,,,,,,Point,
"(11284, 11680, 214)",,,,,,,Point,
"(12894, 11046, 215)",,,,,,,Point,
"(11484, 11108, 216)",,,,,,,Point,
"(10247, 11296, 217)",,,,,,,Point,
"(11242, 11880, 218)",,,,,,,Point,
"(11569, 10762, 219)",,,,,,,Point,
"(11791, 10551, 220)",,,,,,,Point,
"(10274, 11357, 221)",,,,,,,Point,
"(10236, 11012, 222)",,,,,,,Point,
"(11426, 11473, 223)",,,,,,,Point,
"(13063, 11407, 224)",,,,,,,Point,
"(7436, 10678, 225)",,,,,,,Point,
"(11442, 10405, 226)",,,,,,,Point,
"(10985, 11434, 227)",,,,,,,Point,
"(11223, 10720, 228)",,,,,,,Point,
"(12172, 11127, 229)",,,,,,,Point,
"(11634, 10708, 230)",,,,,,,Point,
"(11000, 11092, 231)",,,,,,,Point,
"(11035, 11204, 232)",,,,,,,Point,
"(11688, 10854, 233)",,,,,,,Point,
"(11254, 11692, 234)",,,,,,,Point,
"(11254, 11884, 235)",,,,,,,Point,
"(11795, 11557, 236)",,,,,,,Point,
"(11526, 11238, 237)",,,,,,,Point,
"(11780, 10893, 238)",,,,,,,Point,
"(10451, 11684, 239)",,,,,,,Point,
"(11323, 11307, 240)",,,,,,,Point,
"(11918, 11711, 241)",,,,,,,Point,
"(11446, 11784, 242)",,,,,,,Point,
"(11127, 11357, 243)",,,,,,,Point,
"(11219, 11500, 244)",,,,,,,Point,
"(10382, 10839, 245)",,,,,,,Point,
"(10278, 11861, 246)",,,,,,,Point,
"(11503, 11538, 247)",,,,,,,Point,
"(10820, 11968, 248)",,,,,,,Point,
"(10451, 11200, 249)",,,,,,,Point,
"(10493, 11288, 250)",,,,,,,Point,
"(10539, 11838, 251)",,,,,,,Point,
"(10735, 11292, 252)",,,,,,,Point,
"(10681, 11319, 253)",,,,,,,Point,
"(10996, 10989, 254)",,,,,,,Point,
"(10670, 11281, 255)",,,,,,,Point,
"(10885, 11392, 256)",,,,,,,Point,
"(10028, 11457, 257)",,,,,,,Point,
"(10843, 11234, 258)",,,,,,,Point,
"(11776, 10962, 259)",,,,,,,Point,
"(11665, 11442, 260)",,,,,,,Point,
"(10716, 10509, 261)",,,,,,,Point,
"(11469, 12775, 262)",,,,,,,Point,
"(10113, 11400, 263)",,,,,,,Point,
"(9809, 11062, 264)",,,,,,,Point,
"(10382, 10973, 265)",,,,,,,Point,
