Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(13241, 7194, 137)",,,,,,,Point,
"(11421, 12961, 138)",,,,,,,Point,
"(12612, 7364, 139)",,,,,,,Point,
"(11123, 8614, 140)",,,,,,,Point,
"(11898, 8367, 141)",,,,,,,Point,
"(12995, 7525, 142)",,,,,,,Point,
"(11438, 7976, 143)",,,,,,,Point,
"(13292, 7245, 144)",,,,,,,Point,
"(10647, 7866, 145)",,,,,,,Point,
"(11846, 7525, 146)",,,,,,,Point,
"(11625, 7908, 147)",,,,,,,Point,
"(10962, 7993, 148)",,,,,,,Point,
"(12740, 7432, 149)",,,,,,,Point,
"(8129, 7917, 150)",,,,,,,Point,
"(9890, 8776, 151)",,,,,,,Point,
"(11081, 9669, 152)",,,,,,,Point,
"(8886, 8342, 153)",,,,,,,Point,
"(12178, 7704, 154)",,,,,,,Point,
"(12034, 7712, 155)",,,,,,,Point,
"(12297, 6811, 156)",,,,,,,Point,
"(11574, 8155, 157)",,,,,,,Point,
"(12680, 7194, 158)",,,,,,,Point,
"(11038, 8121, 159)",,,,,,,Point,
"(12935, 7517, 160)",,,,,,,Point,
"(12569, 7338, 161)",,,,,,,Point,
"(10264, 7806, 162)",,,,,,,Point,
"(12034, 7525, 163)",,,,,,,Point,
"(9907, 8061, 164)",,,,,,,Point,
"(11719, 7304, 165)",,,,,,,Point,
"(9091, 7483, 166)",,,,,,,Point,
"(9533, 7508, 167)",,,,,,,Point,
"(13522, 7211, 168)",,,,,,,Point,
"(11438, 6904, 169)",,,,,,,Point,
"(12136, 7066, 170)",,,,,,,Point,
"(13054, 6666, 171)",,,,,,,Point,
"(11506, 6301, 172)",,,,,,,Point,
"(12799, 6471, 173)",,,,,,,Point,
"(12340, 7151, 174)",,,,,,,Point,
"(12382, 6683, 175)",,,,,,,Point,
"(12816, 7177, 176)",,,,,,,Point,
"(11600, 6973, 177)",,,,,,,Point,
"(12297, 6794, 178)",,,,,,,Point,
"(11047, 8350, 179)",,,,,,,Point,
"(9933, 9269, 180)",,,,,,,Point,
"(9984, 10341, 181)",,,,,,,Point,
"(9269, 10230, 182)",,,,,,,Point,
"(8453, 10137, 183)",,,,,,,Point,
"(9780, 10664, 184)",,,,,,,Point,
"(6046, 11940, 185)",,,,,,,Point,
"(11855, 12076, 186)",,,,,,,Point,
"(10409, 12374, 187)",,,,,,,Point,
"(10673, 12008, 188)",,,,,,,Point,
"(11021, 10570, 189)",,,,,,,Point,
"(11098, 10809, 190)",,,,,,,Point,
"(10902, 10775, 191)",,,,,,,Point,
"(9924, 10987, 192)",,,,,,,Point,
"(8742, 8376, 193)",,,,,,,Point,
